subject,body
Check out these dope beats!,Let me know what you think of my new song!  https://soundcloud.com/eatdatcake/iggy-azalea-fancy-cakedup
Trappin wit mah trappin ass,https://soundcloud.com/yellowclaw/yellow-claw-6
Turnip for what?,I just made a phat ass remix of TD4W.  https://soundcloud.com/36brickhouse/waka-flocka-flame-turn-down-for-what-remix
Her name is Jessica,And she has a bad habit for drugs.  https://soundcloud.com/datweekaz/da-tweekaz-in-phase-bad
Upcoming artist,Check out Deezium's remix of Legends.  He's gonna blow up in 2015!  hope.ly/1ujVAzK
Some sweet hardcore,I live my life at 180 BPM.  You should too.  https://soundcloud.com/noleftturn/shine-4u-no-left-turn-hardcore-mix
Love Taytay,Does she know how cute she is tho? https://www.youtube.com/watch?v=nfWlot6h_JM
"Damn son, where'd you find this shit?",https://soundcloud.com/yellowclaw/yellow-claw-yung-felix-you
I'd marry Zedd,Just wanted to get some feedback on an idea I'm working on.  Which of the following would you rather have?  1.  A jetpack.  2.  A hoverboard.  3.  A self-driving car.  Thanks!
It's Fight Night!,Hit 'em wit da left.  Hit 'em wit da right.  Imma knock dat pussy out like fight night!  https://www.youtube.com/watch?v=HsVnUpl2IKQ
Who you movin' like?,You've gotta see this.  This dance is out of control!  https://www.youtube.com/watch?v=-MKhyM1aBrI
Our newest song,"We've just released our latest track, Run With Me.  Interested in making a remix?  Check out https://wavo.me/ultramusic/run-with-me-remix-competition."
